File Name,Path,Instrument Method,Position,Inj Vol,Separation Method,MS Method,Result Path
CCA_TT0000168,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:A12,2,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\Wash\CCA_TT0000168_B-A12_1_14569.d
BSA_6fmol_Aurora15_16_TT0000169,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:A10,2,D:\Methods\VNeo\A15\Separation\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\BSA_6fmol_Aurora15_16_TT0000169_B-A10_1_14570.d
HeLa_100pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000170,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:E11,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000170_B-E11_1_14571.d
HeLa_200pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000171,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:E11,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_200pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000171_B-E11_1_14572.d
HeLa_1ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000172,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:D11,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_1ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000172_B-D11_1_14573.d
HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000173,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:C11,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_5ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000173_B-C11_1_14574.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000174,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000174_B-B11_1_14575.d
HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000175,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:A11,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_50ng_2ACN01TFA__0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000175_B-A11_1_14576.d
CCA_TT0000176,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:B12,2,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\Wash\CCA_T000176_B-A12_1_14577.d
CCA_TT0000177,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:A12,2,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\Wash\CCA_TT0000177_B-A12_1_14578.d
HeLa_100pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000178,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:E11,1,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000178_B-E11_1_14579.d
BSA_6fmol_Aurora15_16_20m150nl23p5v1_TT0000179,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20m150nlML23p5mA15v1,B:A10,2,D:\Methods\VNeo\A15\Separation\Testing\20m150nlML23p5mA15v1.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\BSA_6fmol_Aurora15_16_20m150nl23p5v1_TT0000179_B-A10_1_14580.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20m150nl23p5v1_DIA003_TT0000180,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20m150nlML23p5mA15v1,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\20m150nlML23p5mA15v1.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20m150nl23p5v1_DIA003_TT0000180_B-B11_1_14581.d
Blank_01FA_2uL_VNeo_Aurora15_16_20m150nl23p5v1_DIA003_TT0000181,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20m150nlML23p5mA15v1,B:A1,2,D:\Methods\VNeo\A15\Separation\Testing\20m150nlML23p5mA15v1.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\Blank_01FA_2uL_VNeo_Aurora15_16_20m150nl23p5v1_DIA003_TT0000181_B-A1_1_14582.d
CCA_TT0000182,E:\Data\2026_01\Wash,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15,B:A12,2,D:\Methods\VNeo\A15\Wash\Blank7m650nlML11mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\MS1\MS1001.m?OtofImpacTEMControl,E:\Data\2026_01\Wash\CCA_TT0000181_B-A12_1_14583.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000183,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000182_B-B11_1_14584.d
Blank_01FA_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000184,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:A1,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\Blank_01FA_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000183_B-A1_1_14585.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20minv2_DIA003_TT0000185,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20minv2_DIA003_TT0000185_B-B11_1_14586.d
CCA_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000186,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:A12,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\CCA_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000186_B-A12_1_14587.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000187,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000187_B-B11_1_14588.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_36m150nlLong40_DIA003_TT0000188,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\36m150nlLong40,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\36m150nlLong40.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_36m150nlLong40_DIA003_TT0000188_B-B11_1_14589.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_36m150nlSlow40_DIA003_TT0000189,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\36m150nlSlow40,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\36m150nlSlow40.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_36m150nlSlow40_DIA003_TT0000189_B-B11_1_14590.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_27m150nlv3_DIA003_TT0000190,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\27m150nlv3,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\27m150nlv3.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_27m150nlv3_DIA003_TT0000190_B-B11_1_14591.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m150nlv4_DIA003_TT0000191,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv4,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv4.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m150nlv4_DIA003_TT0000191_B-B11_1_14592.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_24m150nlThermo_DIA003_TT0000192,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\24m150nlThermo,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\24m150nlThermo.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_24m150nlThermo_DIA003_TT0000192_B-B11_1_14593.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m150nlv5Thermo_DIA003_TT0000193,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m150nlv5Thermo_DIA003_TT0000193_B-B11_1_14594.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20p5m150nlv6Thermo_DIA003_TT0000194,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,B:B11,2,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20p5m150nlv6Thermo_DIA003_TT0000194_B-B11_1_14595.d
CCA_2uL_VNeo_Aurora15_16_20p5m150nlv6_DIA003_TT0000195,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,B:A12,2,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\CCA_2uL_VNeo_Aurora15_16_20min_DIA003_TT0000195_B-B12_1_14596.d
HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20min_DIA003_TT0000196,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:E11,1,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20min_DIA003_TT0000196_B-E11_1_14597.d
HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20p5m150nlv6_DIA003_TT0000197,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,B:E11,1,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA003.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20p5m150nlv6_DIA003_TT0000197_B-E11_1_14598.d
HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20p5m150nlv6_DIA75ms_TT0000198,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,B:E11,1,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrange.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20p5m150nlv6_DIA75ms_TT0000198_B-E11_1_14599.d
HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m150nlv5_DIA75ms_TT0000199,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5,B:E11,1,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrange.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m150nlv5_DIA75ms_TT0000199_B-E11_1_14600.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20p5m150nlv6Thermo_DIA75ms_TT0000200,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6,B:B1,2,D:\Methods\VNeo\A15\Separation\Testing\20p5m150nlv6.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrange.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_20p5m150nlv6Thermo_DIA75ms_TT0000200_B-B1_1_14601.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m150nlv5_DIA75ms_TT0000201,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5,B:B1,2,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrange.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m150nlv5_DIA75ms_TT0000201_B-B1_1_14602.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m200nlv5_DIA75ms_TT0000202,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,B:B1,2,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrange.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m200nlv5_DIA75ms_TT0000202_B-B1_1_14603.d
HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m200nlv5_DIA75msW83_TT0000203,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,B:B1,2,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrangeW83.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_20ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_25m200nlv5_DIA75msW83_TT0000203_B-B1_1_14604.d
CCA_2uL_VNeo_Aurora15_16_25m200nlv5_DIA003_TT0000204,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,B:A12,2,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrange.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\CCA_2uL_VNeo_Aurora15_16_25m200nlv5_DIA75ms_TT0000204_B-C12_1_14605.d
HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20m150nl_DIA75ms_TT0000205,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15phospho4,B:E11,1,D:\Methods\VNeo\A15\Separation\Testing\phospho\20m150nlML30mA15.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrange.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_20m150nl_DIA75ms_TT0000205_B-E1_1_14606.d
HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m150nlv5_DIA75ms_TT0000206,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5,B:E11,1,D:\Methods\VNeo\A15\Separation\Testing\25m150nlv5.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrange.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m150nlv5_DIA75ms_TT0000206_B-E1_1_14607.d
HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m200nlv5_DIA75ms_TT0000207,E:\Data\2026_01\QC_SST,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5,B:E11,1,D:\Methods\VNeo\A15\Separation\Testing\25m200nlv5.m?HyStar_LC,D:\Methods\Ultra2Methods\DIA\testing\DIA011RT75expandedrange.proteoscape.m?OtofImpacTEMControl,E:\Data\2026_01\QC_SST\HeLa_100pg_2ACN01TFA_0015DDM_1uL_VNeo_Aurora15_16_25m200nlv5_DIA75ms_TT0000207_B-E1_1_14608.d
